beta,sweep,M,absM,M2,E,E2,acceptedFlips,attemptedClusters,acceptedClusters,fixedPairCorr,corr_r1,corr_r2,corr_r3,corr_r4,corr_r5,corr_r6,corr_r7,corr_r8,corr_r9,corr_r10,corr_r50,corr_r75,corr_r100,corr_r125,corr_r150,corr_r175,corr_r200,corr_r225,corr_r250
0.02,1,-0.00308,0.00308,9.4864e-06,-0.080448,0.00647188,0,230437,114778,1,0.040224,0.001912,-0.000208,-0.001832,0.000312,-0.001608,-0.000512,-0.002672,0.001872,-3.2e-05,-0.002144,4.8e-05,-0.001568,-0.000248,0.00108,0.001336,0.00076,-0.002544,0.004704
0.02,2,0.00172,0.00172,2.9584e-06,-0.044096,0.00194446,0,239839,120115,1,0.022048,0.00376,0.0002,0.000464,0.0002,-0.000664,0.001648,-0.003296,0.000136,0.000808,-0.00168,0.000552,-0.000392,-0.000416,0.001944,7.2e-05,0.00148,0.00052,0.00088
0.02,3,-0.000928,0.000928,8.61184e-07,-0.043984,0.00193459,0,240039,120057,1,0.021992,0.000904,-0.000648,0.000112,0.001592,0.000304,-0.001632,0.001056,0.001648,-0.000256,-0.001688,-0.00348,0.001136,-0.001808,0.000912,-5.6e-05,-0.000792,-0.000184,0.002144
0.02,4,0.00188,0.00188,3.5344e-06,-0.03888,0.00151165,0,240016,120025,1,0.01944,0.000408,-0.001216,0.000352,-0.00084,0.001328,0.000224,-0.000112,0.001096,-0.000216,0.001016,0.000248,-0.000424,-0.002,-0.000416,0.001608,0.002168,0.000104,0.002752
0.02,5,0.00104,0.00104,1.0816e-06,-0.03848,0.00148071,0,239886,119707,1,0.01924,-0.001096,0.00068,-0.001208,0.001864,-0.00016,-0.000824,0.001232,-0.001744,-0.000968,-0.00028,-0.000896,0.000592,0.003792,-0.000384,-0.001144,0.000888,-0.002296,0.000832
0.02,6,-0.00304,0.00304,9.2416e-06,-0.04032,0.0016257,0,240044,119771,-1,0.02016,0.001608,-0.000176,0.000472,-0.000448,0.001528,-8.8e-05,-0.000728,-0.00148,0.00048,-0.000576,-0.001016,0.000248,-0.002512,-0.00064,-0.000272,-0.00204,-0.001632,-0.0012
0.02,7,0.000968,0.000968,9.37024e-07,-0.038336,0.00146965,0,239940,119897,-1,0.019168,0.003584,-0.000792,0.001472,-0.000168,-0.000408,-0.001384,-0.000776,0.000472,-3.2e-05,0.001256,-0.000216,0.00048,-0.00032,0.000368,0.002016,0.000336,-0.000224,-0.005696
0.02,8,-0.002792,0.002792,7.79526e-06,-0.040048,0.00160384,0,239977,119834,1,0.020024,4.8e-05,0.001608,0.001864,0.000496,0.000224,-0.002976,-0.000576,-0.001,0.001712,-0.00148,-0.001608,0.000504,0.000288,0.001432,0.000992,-0.00176,0.001048,-6.4e-05
0.02,9,0.001272,0.001272,1.61798e-06,-0.037712,0.00142219,0,240089,119875,1,0.018856,0.000648,0.000776,-0.000248,0.000256,0.0008,0.000264,-0.000464,-0.001136,0.002312,-0.002136,0.000112,-0.000328,-0.00128,-0.001528,-0.000944,0.000448,-0.000968,0.000736
0.02,10,0.000504,0.000504,2.54016e-07,-0.040144,0.00161154,0,239916,119930,1,0.020072,5.6e-05,0.000416,-0.001608,5.6e-05,0.00088,0.00364,0.000584,0.000152,0.001152,0.000672,0.002256,0.001448,-0.000264,-0.002376,0.001736,-0.000592,0.00164,0.003664
0.02,11,0.002384,0.002384,5.68346e-06,-0.04216,0.00177747,0,240111,120008,-1,0.02108,0.00164,0.002224,0.000744,-0.001896,-0.00184,-0.000392,-7.2e-05,-0.002744,-0.00056,-0.000192,0.000376,-0.000584,-0.000776,-0.001152,-0.001096,0.001024,-0.001568,0.001664
0.02,12,0.0054,0.0054,2.916e-05,-0.038832,0.00150792,0,239955,119746,1,0.019416,-0.001224,0.000344,-0.001376,0.003112,-0.0016,0,-0.00044,-0.001416,-0.000288,0.000368,0.000576,0.001056,0.001408,-2.4e-05,0.001192,0.000336,-0.002712,0.000832
